nome_completo,primeira_hab,data_local_uf,data_emissao,validade,identidade_emissor_uf,cpf,num_registro,cat_hab,nacionalidade,filiacao_pai,filiacao_mae
ANA ARAGÃO,08/11/2005,"09/01/1989, CASA GRANDE, RJ",21/03/2021,17/09/2030,RJ28542659 SSP RJ,392.718.045-97,67355252691,ACC,BRASILEIRO(A),MIGUEL RODRIGUES,HELLENA DA CONCEIÇÃO
ISABELA SANTOS,24/05/1999,"05/04/2007, BRITO DE FOGAÇA, SP",24/01/2023,26/08/2028,SP54515420 SSP SP,687.259.043-29,52027361247,D1E,BRASILEIRO(A),DANILO BORGES,JULIANA PEREIRA
RAFAEL MONTEIRO,12/10/1997,"08/08/1966, VIANA, ES",24/05/2023,04/09/2030,ES59989674 SSP ES,873.210.956-30,90608138716,BE,BRASILEIRO(A),FELIPE JESUS,MARIA LIZ DA ROCHA
AYLLA MACEDO,29/08/2003,"22/11/2004, FOGAÇA DA MATA, RR",19/08/2023,14/09/2028,RR72838816 SSP RR,876.401.295-67,36981081147,B,BRASILEIRO(A),LEVI AZEVEDO,DRA. ELOAH PEIXOTO
DAVI MIGUEL LOPES,08/06/2002,"05/05/1997, SÁ, MA",13/01/2022,30/10/2025,MA18122906 SSP MA,081.975.462-58,29395519027,C1,BRASILEIRO(A),ARTHUR MIGUEL MACEDO,CECÍLIA ALVES
THEO ARAGÃO,14/10/1998,"25/12/1962, TEIXEIRA, DF",12/04/2022,12/01/2026,DF72207198 SSP DF,183.629.470-04,56254202027,D1,BRASILEIRO(A),DR. ENZO DA CONCEIÇÃO,ANA LUIZA APARECIDA
LAÍS CAMARGO,18/05/1996,"18/10/1993, ALMEIDA DA PRAIA, AM",18/02/2021,19/08/2024,AM15651318 SSP AM,538.261.074-62,20660147815,DE,BRASILEIRO(A),OTTO MENDONÇA,CAROLINE LOPES
VICENTE FERREIRA,19/07/2006,"18/09/1988, MACEDO DO NORTE, GO",29/03/2023,11/09/2028,GO75704171 SSP GO,096.372.184-40,44132406323,C1,BRASILEIRO(A),JOSÉ MACEDO,MANUELA GARCIA
SRTA. CAMILA CÂMARA,29/04/2004,"09/06/1969, CARVALHO PAULISTA, MG",11/05/2022,27/07/2026,MG23378960 SSP MG,385.721.609-30,15439790795,A1,BRASILEIRO(A),ARTHUR GABRIEL RODRIGUES,MARIA HELENA DA MOTA
SRA. BELLA NOVAIS,18/08/2004,"06/05/1983, DA CONCEIÇÃO DO AMPARO, BA",11/05/2023,24/10/2031,BA76142377 SSP BA,310.756.248-35,88885009975,CE,BRASILEIRO(A),PIETRO DA MOTA,HADASSA FONSECA
ÍSIS ALVES,27/02/1996,"05/02/2007, FONSECA DE MINAS, ES",09/08/2023,13/12/2030,ES66817931 SSP ES,974.361.085-57,96878130475,CE,BRASILEIRO(A),HENRY BRITO,ISABELLA DA CONCEIÇÃO
RHAVI DA ROSA,22/01/2002,"01/03/2003, VASCONCELOS DE SÁ, PB",02/10/2025,27/10/2029,PB73946491 SSP PB,239.108.754-32,84273343264,C1,BRASILEIRO(A),DANTE PIRES,MAYA DA MOTA
PAULO PASTOR,15/11/2001,"28/04/2000, CASTRO, AM",25/01/2023,07/12/2028,AM91591312 SSP AM,920.418.675-58,93325972284,D1,BRASILEIRO(A),PAULO DAS NEVES,MANUELA FERNANDES
ARTHUR GABRIEL CASSIANO,31/10/2000,"06/07/1984, VIANA DA MATA, PR",09/10/2021,08/02/2025,PR72170149 SSP PR,605.382.194-24,12764230135,A1,BRASILEIRO(A),PEDRO LUCAS DA MOTA,LUNNA VASCONCELOS
DAVI PIMENTA,23/12/2004,"27/11/1992, ALMEIDA DO CAMPO, AC",25/04/2024,10/11/2028,AC93766309 SSP AC,908.142.635-42,78822318234,B,BRASILEIRO(A),RHAVI JESUS,SRA. HELENA NOVAIS
LORENA DA ROCHA,04/09/2000,"06/06/1962, DAS NEVES, PA",29/05/2022,17/03/2027,PA92564501 SSP PA,781.592.640-11,86397218000,BE,BRASILEIRO(A),ALEXANDRE DA ROSA,MARIA FLOR AZEVEDO
CAUÊ ABREU,12/04/1996,"27/09/1990, NOVAIS, PE",28/08/2022,04/08/2026,PE53490536 SSP PE,619.854.203-33,40544810325,C1E,BRASILEIRO(A),JOÃO GABRIEL ALMEIDA,ANA JULIA GOMES
DANILO PEIXOTO,08/09/1999,"10/02/1967, OLIVEIRA, PR",10/10/2022,17/12/2025,PR18948159 SSP PR,085.932.476-10,45030852490,D,BRASILEIRO(A),LUCCA MOREIRA,ALLANA PINTO
CLARICE GUERRA,03/07/2004,"06/10/1988, MENDONÇA DAS PEDRAS, RS",14/09/2023,31/03/2033,RS78220831 SSP RS,135.462.780-62,34036966983,A1,BRASILEIRO(A),DR. VALENTIM DA COSTA,HADASSA PORTO
LÍVIA CORREIA,26/05/2007,"05/01/1970, DA ROCHA DE SALES, RJ",23/02/2021,15/04/2025,RJ39758470 SSP RJ,536.192.487-37,12238656687,DE,BRASILEIRO(A),KEVIN DA CONCEIÇÃO,MARIA ALICE CARDOSO
SR. ASAFE BORGES,05/10/2004,"04/09/1964, DIAS, PI",26/10/2024,15/09/2034,PI79648769 SSP PI,045.612.873-53,45920055418,D1,BRASILEIRO(A),MATEUS COSTELA,ALÍCIA PORTO
EMILLY RIOS,07/11/1999,"30/03/1971, LIMA DE BARBOSA, SC",06/11/2021,02/04/2026,SC69819623 SSP SC,930.246.857-74,70811647640,ACC,BRASILEIRO(A),DR. CAUÊ APARECIDA,VITÓRIA FARIAS
MANUELLA ARAGÃO,19/06/2004,"24/07/1987, DA LUZ, AC",20/10/2024,23/11/2031,AC99820048 SSP AC,605.913.872-12,61030153373,DE,BRASILEIRO(A),MATHEUS PIMENTA,AURORA SÁ
SRTA. RAFAELA FERREIRA,03/01/2000,"20/09/1986, ABREU DE NOVAES, TO",14/05/2022,08/01/2026,TO99142824 SSP TO,697.418.035-75,33157122499,B,BRASILEIRO(A),APOLLO LEÃO,LETÍCIA FREITAS
SR. JOÃO LUCAS PIRES,24/05/2007,"10/12/2005, CAMARGO DA PRATA, SP",27/02/2025,18/12/2030,SP43305606 SSP SP,924.751.630-70,61407842227,B,BRASILEIRO(A),DR. BRYAN OLIVEIRA,ANA CAROLINA PIMENTA
ISAQUE DA LUZ,11/12/2000,"12/08/1999, CALDEIRA, AL",22/11/2020,07/10/2026,AL16775822 SSP AL,538.967.102-30,79134673968,B1,BRASILEIRO(A),DAVI DIAS,SRTA. ELOÁ ALVES
HENRY GABRIEL NOVAIS,15/06/2000,"09/09/1995, MACEDO, SE",16/12/2023,28/08/2027,SE70212494 SSP SE,593.120.867-40,37791154401,ACC,BRASILEIRO(A),MURILO MENDES,AYLLA DA ROSA
SR. VINÍCIUS SOUZA,05/11/2006,"16/12/1964, CARDOSO GRANDE, PB",16/12/2022,30/04/2031,PB62673172 SSP PB,203.758.964-65,98365825084,D1E,BRASILEIRO(A),LUIZ FELIPE ALBUQUERQUE,GABRIELLY CALDEIRA
ANA BEATRIZ RAMOS,08/11/2003,"25/01/1976, MENDONÇA DAS FLORES, BA",09/02/2025,11/09/2032,BA10066156 SSP BA,392.045.786-29,92331972152,D,BRASILEIRO(A),JOÃO GOMES,CLARICE DA PAZ
ISAQUE NASCIMENTO,02/03/2001,"12/08/1960, FARIAS DE SILVA, AP",19/02/2021,10/09/2025,AP94723226 SSP AP,169.583.427-55,88809557051,C,BRASILEIRO(A),DR. JOAQUIM TEIXEIRA,MARINA DUARTE
BIANCA ROCHA,01/01/2005,"14/04/1965, ARAÚJO DE COSTELA, RS",26/11/2023,20/08/2033,RS33551818 SSP RS,861.052.479-58,56315077805,BE,BRASILEIRO(A),CAIO CUNHA,ELISA DA CRUZ
ALICE OLIVEIRA,06/03/2003,"19/12/1972, DAS NEVES DAS FLORES, SE",27/02/2021,31/03/2030,SE22012312 SSP SE,480.931.672-69,40508556727,A1,BRASILEIRO(A),THOMAS DA ROCHA,ANA BEATRIZ CASSIANO
THOMAS MARQUES,02/06/2001,"19/02/1992, BORGES, MA",03/03/2021,15/08/2025,MA96698005 SSP MA,415.276.830-44,61612994621,D1,BRASILEIRO(A),FERNANDO DAS NEVES,ANA VITÓRIA BARBOSA
SRA. ANA LÍVIA FERREIRA,29/03/2006,"27/09/1994, CARDOSO DE ARAGÃO, AL",16/08/2025,21/08/2034,AL63431749 SSP AL,827.390.165-30,15850076893,ACC,BRASILEIRO(A),JUAN ABREU,ZOE NOVAES
HELOISA CALDEIRA,01/04/2007,"07/08/1978, FREITAS DAS PEDRAS, PI",27/11/2020,03/08/2025,PI88991501 SSP PI,921.075.648-76,95116069872,A,BRASILEIRO(A),ENZO BRITO,ANA CLARA CALDEIRA
LAVÍNIA MOREIRA,15/10/2006,"04/08/1966, BRITO DE ALMEIDA, GO",20/06/2025,21/10/2031,GO80190639 SSP GO,829.601.437-87,46796184280,DE,BRASILEIRO(A),THÉO JESUS,AYLLA PIRES
JOÃO VITOR MONTEIRO,11/07/2003,"23/09/1974, DA PAZ DO AMPARO, MG",15/08/2021,03/04/2026,MG35169145 SSP MG,384.605.279-56,93351111754,D1,BRASILEIRO(A),SR. PEDRO MIGUEL BARBOSA,MARIA CECÍLIA SOUZA
LETÍCIA FOGAÇA,14/10/2005,"10/08/1987, DA COSTA DO AMPARO, RO",20/02/2025,01/07/2032,RO88624762 SSP RO,943.216.587-64,10218086456,C1,BRASILEIRO(A),ASAFE ARAGÃO,SOPHIE CAMARGO
MARIA DA COSTA,15/06/2007,"01/01/1991, SOUSA, CE",09/10/2025,22/08/2033,CE65232852 SSP CE,658.904.172-58,82053216620,C1,BRASILEIRO(A),DR. THIAGO VIEIRA,DRA. VITÓRIA CAMPOS
CLARICE CAVALCANTE,25/03/2007,"15/04/1978, DA CRUZ DE GONÇALVES, RR",13/01/2024,29/06/2028,RR41635935 SSP RR,718.243.905-05,76827060159,ACC,BRASILEIRO(A),EMANUEL DA ROCHA,MARCELA DA MATA
GUILHERME BRITO,18/09/2000,"02/10/1982, FARIAS, ES",13/09/2022,08/11/2029,ES90596645 SSP ES,137.948.206-22,65543371628,C1,BRASILEIRO(A),ENZO GABRIEL ARAGÃO,EVELYN SILVEIRA
LUNA PIRES,06/04/2007,"24/09/1978, DA CUNHA, MS",27/04/2021,29/08/2029,MS38988203 SSP MS,629.380.475-92,38630590349,A,BRASILEIRO(A),BENJAMIN DA ROSA,MELISSA CAMPOS
RODRIGO SALES,21/10/1998,"11/06/1964, CASSIANO VERDE, MS",19/12/2021,15/11/2026,MS63380596 SSP MS,098.563.412-05,38680574701,C1E,BRASILEIRO(A),LUIZ FELIPE LOPES,MANUELA ARAGÃO
ELOÁ FONSECA,13/10/2000,"21/09/2007, CASSIANO, RN",04/06/2025,25/07/2030,RN62696217 SSP RN,598.021.376-77,86125495703,C1,BRASILEIRO(A),SR. JOÃO FELIPE SIQUEIRA,ANA LUIZA FARIAS
LETÍCIA CAVALCANTI,29/10/2007,"20/11/1958, SALES DO GALHO, ES",03/04/2024,20/09/2030,ES57777399 SSP ES,380.165.924-06,89471658103,A,BRASILEIRO(A),MARCOS VINICIUS JESUS,YASMIN SAMPAIO
SR. DAVI BORGES,07/06/2003,"19/12/1980, PEIXOTO PAULISTA, PB",14/12/2022,20/08/2027,PB56100903 SSP PB,583.941.260-06,34521189659,DE,BRASILEIRO(A),THÉO LEÃO,MARIA JÚLIA SAMPAIO
SR. LORENZO GUERRA,05/12/1999,"28/04/2001, FREITAS, AM",22/09/2024,18/07/2031,AM76032990 SSP AM,657.893.142-28,34793539885,BE,BRASILEIRO(A),ANTHONY GABRIEL CAMPOS,CATARINA SAMPAIO
MELISSA DA MOTA,06/06/1998,"16/03/1974, COSTELA, AM",21/08/2023,08/02/2033,AM85342301 SSP AM,245.879.103-41,54213942627,ACC,BRASILEIRO(A),RAFAEL MELO,MARIANE PACHECO
SRA. ALEXIA PEREIRA,21/04/2003,"11/03/1991, DUARTE ALEGRE, BA",27/01/2023,06/02/2030,BA73187273 SSP BA,091.324.758-88,98919397333,CE,BRASILEIRO(A),JOÃO MIGUEL REZENDE,SRA. NICOLE ANDRADE
JÚLIA DA LUZ,03/04/1999,"05/09/2004, DA CUNHA, RN",25/09/2024,22/02/2032,RN40922251 SSP RN,457.391.826-46,97540753969,A,BRASILEIRO(A),PAULO NUNES,BEATRIZ OLIVEIRA
DAVI MIGUEL APARECIDA,12/09/2000,"30/07/1980, MOREIRA, SC",17/04/2025,06/11/2033,SC11874836 SSP SC,305.482.769-00,18959406748,B,BRASILEIRO(A),VINICIUS LIMA,HELLENA RAMOS
DIEGO COSTA,22/04/2003,"24/04/1993, SANTOS, DF",09/03/2021,17/02/2029,DF43205954 SSP DF,641.085.972-49,31322892483,ACC,BRASILEIRO(A),DAVI MIGUEL CASTRO,MAYSA RODRIGUES
SR. FELIPE CUNHA,25/05/2007,"20/03/1998, BORGES DOS DOURADOS, DF",26/08/2024,12/07/2030,DF63968940 SSP DF,709.135.486-93,15842070744,D1,BRASILEIRO(A),SR. LUIZ FELIPE LIMA,ANA CLARA ABREU
ANA BEATRIZ RIBEIRO,22/04/2000,"20/04/1978, DA LUZ DO GALHO, RO",19/01/2021,06/03/2028,RO83051643 SSP RO,476.802.935-38,91421805949,ACC,BRASILEIRO(A),SR. THOMAS LEÃO,OLIVIA FARIAS
MARIANE FREITAS,13/03/1996,"31/05/1967, RODRIGUES DA SERRA, GO",25/06/2021,09/03/2031,GO49878500 SSP GO,358.416.079-01,99361047510,ACC,BRASILEIRO(A),GAEL HENRIQUE FOGAÇA,MARIA LIZ FOGAÇA
MARIA CLARA CASSIANO,06/02/2004,"31/08/1977, VASCONCELOS PAULISTA, ES",01/03/2022,28/04/2030,ES69311967 SSP ES,743.296.058-56,37185541991,D1E,BRASILEIRO(A),GUILHERME CARVALHO,ANA CAROLINA GONÇALVES
MILENA DAS NEVES,24/06/2003,"05/07/1960, RIBEIRO, AL",22/03/2022,22/09/2025,AL56791553 SSP AL,396.052.814-06,36725384892,C1,BRASILEIRO(A),VALENTIM FARIAS,ÍSIS DA PAZ
NINA SANTOS,12/10/2000,"27/09/1999, DIAS, ES",08/10/2023,24/09/2030,ES89343321 SSP ES,861.097.324-78,11061265635,DE,BRASILEIRO(A),DIEGO ARAGÃO,SOFIA DA LUZ
BENJAMIM MARQUES,06/04/2005,"05/04/1989, PORTO DO NORTE, AP",08/06/2024,01/05/2033,AP25211938 SSP AP,492.850.317-14,74475622785,BE,BRASILEIRO(A),BENJAMIM BORGES,EMANUELLY LEÃO
BÁRBARA RIBEIRO,29/03/2005,"04/05/1988, CAMARGO, PA",04/08/2021,05/07/2027,PA51519503 SSP PA,716.504.829-49,81630411551,ACC,BRASILEIRO(A),VITOR HUGO DA LUZ,ALEXIA DIAS
SOPHIA PIMENTA,04/05/2000,"24/02/1972, RODRIGUES DE GARCIA, SE",07/10/2021,08/02/2028,SE75895446 SSP SE,032.476.189-96,93100374814,D1,BRASILEIRO(A),LUIZ OTÁVIO CASSIANO,CAROLINE LOPES
RHAVI DA LUZ,31/05/1997,"23/04/1961, ARAÚJO, PB",10/04/2022,10/07/2028,PB48289314 SSP PB,928.514.630-98,87428896957,ACC,BRASILEIRO(A),GAEL HENRIQUE NOVAIS,LAVÍNIA MENDONÇA
RYAN NASCIMENTO,31/10/2003,"15/09/1956, PORTO, MA",27/04/2024,02/10/2028,MA56699816 SSP MA,368.047.125-44,37604430796,A1,BRASILEIRO(A),RAVI DUARTE,SRA. VALENTINA NOGUEIRA
BIANCA RAMOS,25/07/1999,"26/10/1992, CARDOSO DE APARECIDA, SC",18/07/2024,03/07/2030,SC95228813 SSP SC,635.208.147-90,89603804333,D1E,BRASILEIRO(A),OTÁVIO PIRES,ALÍCIA CAVALCANTE
THEO MACHADO,05/10/1996,"22/07/1994, PINTO DAS FLORES, AC",18/05/2021,04/12/2024,AC50550947 SSP AC,361.452.708-53,28204503741,C,BRASILEIRO(A),APOLLO CUNHA,SRA. NINA MELO
LUCAS GABRIEL TEIXEIRA,03/06/2000,"03/07/1966, DA CUNHA GRANDE, AC",31/12/2021,14/04/2026,AC96047282 SSP AC,573.940.826-10,36791249010,C,BRASILEIRO(A),HENRY GABRIEL CAMPOS,CAROLINA CAVALCANTI
ANDRÉ SÁ,06/08/1998,"20/03/1979, CAMPOS GRANDE, MA",27/03/2025,21/02/2029,MA41834223 SSP MA,721.394.065-16,64607348670,D,BRASILEIRO(A),JOÃO PEREIRA,DRA. LUÍSA GUERRA
ERICK NOVAIS,17/01/2000,"08/10/1955, VARGAS DO OESTE, RR",12/04/2023,15/05/2029,RR59718743 SSP RR,076.342.591-52,57379240531,ACC,BRASILEIRO(A),DR. BENJAMIN DA MATA,SRTA. MARIA CECÍLIA DA MATA
JOSÉ ROCHA,30/09/2003,"09/11/1964, PIMENTA DO OESTE, DF",14/06/2025,25/02/2033,DF20540817 SSP DF,157.869.430-20,61216967865,B,BRASILEIRO(A),DANILO MORAES,MARIA CECÍLIA BARROS
ZOE GARCIA,02/11/2002,"05/06/1963, AZEVEDO, MG",15/11/2023,16/01/2028,MG89052471 SSP MG,182.460.957-49,56610426890,C1,BRASILEIRO(A),BENTO BORGES,SRTA. YASMIN CUNHA
DAVI LUIZ CARVALHO,25/11/2002,"19/10/1980, PASTOR, CE",24/04/2025,03/04/2030,CE68766163 SSP CE,172.893.560-12,57213077871,D,BRASILEIRO(A),RAEL CIRINO,LUÍSA SILVEIRA
GAEL HENRIQUE PACHECO,11/01/2004,"19/09/1963, FONSECA, MS",04/12/2020,09/07/2030,MS52452951 SSP MS,107.982.465-02,95297829396,DE,BRASILEIRO(A),FERNANDO PACHECO,ÍSIS ANDRADE
JULIA ARAÚJO,06/03/2006,"12/10/1979, NUNES, RS",30/06/2025,23/05/2032,RS68257427 SSP RS,837.920.561-86,43767835201,BE,BRASILEIRO(A),ARTHUR ARAGÃO,ISABELLA NUNES
SRA. LUANA CARVALHO,12/12/2000,"23/11/1990, FOGAÇA DE MINAS, PR",20/08/2021,22/01/2026,PR93823507 SSP PR,589.067.143-00,28942769826,B1,BRASILEIRO(A),SR. LUIZ FELIPE CAMARGO,LIZ GUERRA
DAVI LUIZ ARAGÃO,17/08/2004,"09/04/1957, SANTOS, MS",04/05/2022,09/07/2028,MS40137636 SSP MS,324.019.875-41,13859715154,B,BRASILEIRO(A),CALEBE CASA GRANDE,HELLENA SILVA
DRA. SARAH FONSECA,04/02/1997,"09/06/1973, JESUS PAULISTA, ES",24/10/2025,03/02/2035,ES30193892 SSP ES,584.602.193-05,83587741914,D1,BRASILEIRO(A),IGOR CUNHA,CAROLINE DA ROCHA
RAQUEL FOGAÇA,19/02/2003,"24/11/1981, MARTINS, RO",04/08/2023,11/04/2028,RO54910347 SSP RO,634.970.528-92,67456280487,DE,BRASILEIRO(A),IGOR FERNANDES,SRTA. OLIVIA GUERRA
MATHIAS DA PAZ,08/05/2005,"08/12/1959, DA ROSA GRANDE, PE",06/11/2025,17/08/2029,PE42304743 SSP PE,023.946.785-00,65587723439,A,BRASILEIRO(A),DOM FERREIRA,MARCELA TEIXEIRA
GUSTAVO HENRIQUE SAMPAIO,26/02/1996,"07/04/2000, RODRIGUES DO SUL, CE",28/02/2023,16/08/2026,CE96700963 SSP CE,672.093.415-52,69679464850,ACC,BRASILEIRO(A),THÉO GOMES,SRA. PIETRA ALBUQUERQUE
SR. BRAYAN MARQUES,09/06/2003,"15/10/2001, SOUZA VERDE, SE",12/02/2025,27/02/2033,SE52942088 SSP SE,035.412.786-17,72169171248,D1,BRASILEIRO(A),THEO CALDEIRA,ANNA LIZ BRITO
RAVY VARGAS,12/09/2006,"29/08/1980, DA PAZ, PE",26/02/2025,23/10/2030,PE73565352 SSP PE,208.417.593-32,69451594220,C1,BRASILEIRO(A),MARCELO MOREIRA,EMILLY DA ROCHA
ISAAC MOREIRA,09/03/1998,"12/04/1958, OLIVEIRA, PE",30/12/2023,29/07/2032,PE86753230 SSP PE,307.952.164-16,41093762944,D,BRASILEIRO(A),RAUL VARGAS,CECÍLIA PIRES
NINA MOREIRA,15/10/2000,"02/04/1987, SAMPAIO, RS",11/06/2022,02/03/2031,RS62332721 SSP RS,341.680.925-42,60097148149,CE,BRASILEIRO(A),DR. BENJAMIN BORGES,MELINA BORGES
RAEL NOVAES,27/11/1996,"13/06/1988, BORGES DE FARIAS, MT",19/05/2022,02/05/2032,MT43935652 SSP MT,509.273.418-32,47262163915,B1,BRASILEIRO(A),SR. JOSUÉ CALDEIRA,MARIA LIZ BORGES
MARIANA REZENDE,07/07/2004,"04/04/1975, RIBEIRO DE CIRINO, ES",03/01/2021,13/12/2029,ES99779310 SSP ES,135.264.089-98,44374762266,BE,BRASILEIRO(A),LUIZ MIGUEL REZENDE,SARAH NUNES
SRA. BELLA PIRES,20/10/1999,"23/05/1963, CAMPOS DO NORTE, SP",24/06/2021,14/12/2026,SP68461007 SSP SP,710.352.486-62,73404025162,CE,BRASILEIRO(A),LUIGI FREITAS,OLIVIA BORGES
GAEL SOUSA,06/10/1998,"08/08/1975, FOGAÇA DE LIMA, PI",25/04/2025,12/02/2032,PI91654658 SSP PI,397.428.601-22,49619735282,A,BRASILEIRO(A),FRANCISCO CAMARGO,CAROLINA CASA GRANDE
JOANA DA LUZ,04/09/1996,"15/04/1965, GARCIA DO GALHO, SE",06/06/2025,30/09/2030,SE16712692 SSP SE,415.327.806-80,31404640296,D1E,BRASILEIRO(A),RAVY CAVALCANTE,ÁGATHA PASTOR
MARIA HELENA GARCIA,21/01/2003,"08/07/1990, CAVALCANTI VERDE, AL",30/11/2022,31/08/2032,AL32396974 SSP AL,207.436.589-65,56093365747,C1,BRASILEIRO(A),GAEL CARVALHO,OLÍVIA FARIAS
VITOR HUGO CÂMARA,17/03/1996,"06/09/1988, CÂMARA, RJ",12/09/2023,16/12/2029,RJ29794829 SSP RJ,361.405.729-16,92632500848,C1E,BRASILEIRO(A),NOAH MOURA,SABRINA SIQUEIRA
JOÃO FELIPE SOUSA,19/02/1998,"21/01/1960, ALBUQUERQUE, RN",28/09/2023,17/07/2028,RN85021995 SSP RN,138.079.246-04,18904829029,ACC,BRASILEIRO(A),BENÍCIO AZEVEDO,ANA CLARA SÁ
ELISA SÁ,28/06/1999,"18/01/1991, REZENDE, SP",03/12/2023,13/09/2031,SP11006518 SSP SP,654.239.087-10,57753265583,A,BRASILEIRO(A),JOÃO GUILHERME MORAES,MARIA FLOR GOMES
LEVI MACEDO,07/10/2001,"01/07/1995, SILVEIRA ALEGRE, RO",01/06/2021,22/12/2030,RO13431428 SSP RO,168.403.952-51,47839943286,D,BRASILEIRO(A),GUILHERME DA ROSA,SRTA. MARIA CECÍLIA ALBUQUERQUE
LUIZ GUSTAVO CÂMARA,02/08/1999,"22/03/1991, PIRES, TO",14/05/2023,28/08/2028,TO42746930 SSP TO,705.423.619-06,45896931017,BE,BRASILEIRO(A),ARTHUR MIGUEL MONTENEGRO,CAROLINE DA MOTA
DRA. ISABELLA BRITO,20/05/2003,"28/01/1997, JESUS DE GOIÁS, ES",18/09/2021,24/03/2028,ES12213483 SSP ES,983.675.014-20,77289414136,C1E,BRASILEIRO(A),DAVI LUCAS VASCONCELOS,MAITÊ DUARTE
SOFIA FONSECA,19/04/1999,"05/05/1986, LOPES DE ALMEIDA, PB",28/05/2023,30/06/2029,PB84020049 SSP PB,203.198.754-23,83248484806,A,BRASILEIRO(A),DIEGO CASTRO,JULIANA COSTA
LUNA FREITAS,06/08/2002,"16/11/1970, GARCIA, AC",23/11/2023,10/05/2031,AC54770281 SSP AC,726.354.981-64,53491884235,ACC,BRASILEIRO(A),BENICIO GOMES,MARIA CECÍLIA MONTEIRO
SARAH ARAÚJO,05/02/2002,"26/07/1972, ANDRADE, AP",10/10/2024,09/11/2029,AP24811081 SSP AP,721.495.630-61,65074941512,A,BRASILEIRO(A),DAVI LUIZ PIMENTA,SOFIA SILVA
SR. AUGUSTO FERNANDES,16/04/1998,"08/08/2006, NASCIMENTO DO OESTE, PI",24/04/2023,16/08/2027,PI83336219 SSP PI,940.317.265-70,35981612755,ACC,BRASILEIRO(A),VINICIUS SILVA,JOANA DA LUZ
CALEBE CÂMARA,28/03/2004,"31/12/1994, FERREIRA, PE",25/06/2025,04/11/2033,PE60014748 SSP PE,175.682.904-76,89658717303,BE,BRASILEIRO(A),YURI MONTEIRO,HELLENA NASCIMENTO
BIANCA PEREIRA,09/02/2001,"05/02/1992, DA CRUZ, ES",25/02/2022,22/02/2029,ES64971548 SSP ES,047.185.392-50,10450345565,D1,BRASILEIRO(A),SR. PEDRO PINTO,EMANUELLY CALDEIRA
DANIEL DA CONCEIÇÃO,30/08/2000,"06/05/1994, CIRINO DO OESTE, RS",28/05/2024,23/12/2029,RS49853011 SSP RS,019.643.287-13,87068112963,C1,BRASILEIRO(A),LUIZ FELIPE VIANA,HADASSA SOUZA
DOM CARDOSO,09/11/2002,"27/06/1971, PASTOR, AP",14/10/2022,17/03/2030,AP96548087 SSP AP,850.497.362-00,22643889795,ACC,BRASILEIRO(A),SR. ARTHUR DA CONCEIÇÃO,ALEXIA PIRES
SR. JUAN CAVALCANTI,07/05/2007,"28/01/1973, ALBUQUERQUE, MT",03/12/2023,13/06/2028,MT82138389 SSP MT,480.273.156-62,58102081119,D,BRASILEIRO(A),DR. KAIQUE SALES,LORENA PIRES
FERNANDA ANDRADE,14/01/1998,"07/09/1985, OLIVEIRA, SP",16/01/2024,08/11/2027,SP48246502 SSP SP,598.023.164-15,38509169803,C1E,BRASILEIRO(A),ISAQUE CÂMARA,HELLENA MARTINS
SR. THEODORO MACEDO,17/07/2001,"01/07/2003, BARBOSA, SC",30/06/2021,12/03/2031,SC54907630 SSP SC,594.207.816-58,57809146682,B,BRASILEIRO(A),EDUARDO DUARTE,MARIA CLARA DA COSTA
ELOÁ CAMARGO,27/03/1996,"23/01/1974, TEIXEIRA PAULISTA, ES",21/12/2021,22/01/2025,ES96256564 SSP ES,475.319.806-57,92366105473,C1,BRASILEIRO(A),PEDRO CUNHA,SRA. MAYA COSTA
YAN MONTENEGRO,23/11/2004,"27/01/1964, FERREIRA, MT",13/07/2024,14/12/2029,MT40098065 SSP MT,697.042.581-94,78952359512,C1E,BRASILEIRO(A),LEVI TEIXEIRA,ANA LUIZA VARGAS
AYLA JESUS,28/10/1997,"05/03/1956, GARCIA DE VARGAS, TO",16/01/2022,07/02/2031,TO96012459 SSP TO,209.165.384-51,43692025507,D1E,BRASILEIRO(A),GUILHERME PIMENTA,DRA. CECILIA NOVAIS
DIEGO LOPES,23/10/2003,"28/01/1966, DA ROSA DE MINAS, AC",11/08/2022,30/07/2027,AC57510008 SSP AC,085.962.713-68,93808382639,A,BRASILEIRO(A),SR. RHAVI SILVA,LETÍCIA PORTO
AMANDA DA LUZ,12/09/2001,"29/04/1996, MELO, PA",30/09/2025,20/02/2035,PA32811755 SSP PA,671.283.459-73,50218154714,A1,BRASILEIRO(A),NICOLAS SÁ,ALLANA ROCHA
RODRIGO PEIXOTO,13/08/1997,"11/09/1968, COSTA DE GOIÁS, SP",07/03/2021,11/06/2030,SP80603411 SSP SP,814.903.265-70,46301087695,C1,BRASILEIRO(A),DAVI LUCAS TEIXEIRA,SRA. HELENA NOVAES
MILENA CARDOSO,15/10/2005,"12/05/1982, GONÇALVES DAS PEDRAS, DF",02/03/2022,09/04/2031,DF35552849 SSP DF,327.508.941-23,47741583144,A,BRASILEIRO(A),JOÃO LUCAS REZENDE,ISABELLY PEREIRA
GUILHERME COSTELA,07/12/2006,"30/01/2002, DAS NEVES, SE",16/08/2021,14/12/2028,SE67910015 SSP SE,591.604.283-33,82578089158,C,BRASILEIRO(A),GAEL CORREIA,ANA LAURA DA CONCEIÇÃO
